id,category_id,category,code,name
1,1,금속,MTL-0001,냉간압연강판
2,1,금속,MTL-0002,열간압연강판
3,1,금속,MTL-0003,스테인리스강
4,1,금속,MTL-0004,알루미늄 합금봉
5,1,금속,MTL-0005,구리판
6,1,금속,MTL-0006,마그네슘 합금
7,1,금속,MTL-0007,아연 도금강판
8,1,금속,MTL-0008,철선(강선)
9,1,금속,MTL-0009,베어링강
10,1,금속,MTL-0010,주철
11,2,플라스틱/고무,PLS-0001,ABS 수지
12,2,플라스틱/고무,PLS-0002,폴리프로필렌
13,2,플라스틱/고무,PLS-0003,폴리우레탄
14,2,플라스틱/고무,PLS-0004,고무 원자재
15,2,플라스틱/고무,PLS-0005,실리콘
16,2,플라스틱/고무,PLS-0006,나일론
17,2,플라스틱/고무,PLS-0007,폴리에틸렌
18,2,플라스틱/고무,PLS-0008,폴리카보네이트
19,2,플라스틱/고무,PLS-0009,열가소성 엘라스토머
20,2,플라스틱/고무,PLS-0010,EPDM 고무
21,3,전기전자,ELC-0001,구리 전선
22,3,전기전자,ELC-0002,알루미늄 전선
23,3,전기전자,ELC-0003,커넥터 핀
24,3,전기전자,ELC-0004,PCB 원판
25,3,전기전자,ELC-0005,반도체 칩
26,3,전기전자,ELC-0006,저항기
27,3,전기전자,ELC-0007,콘덴서
28,3,전기전자,ELC-0008,다이오드
29,3,전기전자,ELC-0009,릴레이
30,3,전기전자,ELC-0010,퓨즈
31,4,화학/소모품,CHM-0001,도료(블랙)
32,4,화학/소모품,CHM-0002,도료(화이트)
33,4,화학/소모품,CHM-0003,접착제
34,4,화학/소모품,CHM-0004,실리콘실란트
35,4,화학/소모품,CHM-0005,윤활유
36,4,화학/소모품,CHM-0006,그리스
37,4,화학/소모품,CHM-0007,냉각수
38,4,화학/소모품,CHM-0008,브레이크액
39,4,화학/소모품,CHM-0009,세정제
40,4,화학/소모품,CHM-0010,프라이머
